season,pts_roll10,ast_roll10,reb_roll10,stl_roll10,blk_roll10,fg3m_roll10,true_shooting_roll10,usage_proxy_roll10,def_impact_roll10
2020-21,17.0,4.1,6.5,1.2,0.8,2.2,0.634722222307532,0.5624169051263099,6.6
2021-22,16.8,4.0,6.5,1.2,0.8,2.2,0.626603847445331,0.5517186161494614,6.5
2022-23,18.0,4.2,6.4,1.1,0.7142857142857143,2.2,0.6458006846148819,0.5684090300461982,6.6
2023-24,18.2,4.5,6.4,1.1,0.8,2.2,0.6418127098499267,0.5706700065521689,6.6
2024-25,17.8,4.4,6.4,1.2,0.8,2.3,0.6362386626792075,0.5694527427349002,6.6
