bucket,n,avg_pred,actual_home_win,gap_actual_minus_pred
<0.30,96,0.24725342849661017,0.17708333333333334,-0.07017009516327682
0.30-0.40,153,0.35388324482471933,0.2875816993464052,-0.06630154547831413
0.40-0.45,85,0.42403417889371764,0.4470588235294118,0.023024644635694147
0.45-0.50,113,0.4731435230553657,0.3893805309734513,-0.0837629920819144
0.50-0.55,130,0.5268049875441527,0.5153846153846153,-0.011420372159537395
0.55-0.60,132,0.5740486232818155,0.6212121212121212,0.04716349793030572
0.60-0.70,240,0.6485659760291045,0.6666666666666666,0.018100690637562145
>0.70,276,0.7741102902530642,0.7789855072463768,0.004875216993312614
