lineup_id,lineup_names,team,games_played,min,off_rating,def_rating,net_rating,ast_pct,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,possessions,season
-1628392-1628983-1630598-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - A. Wiggins - J. Williams - C. Wallace,OKC,7,30.0,112.1,114.1,-1.9,0.5,0.269,0.704,0.491,0.136,0.566,0.603,103.35,0.51,66,2024-25
-202710-203110-1627780-1630541-1642366-,J. Butler III - D. Green - G. Payton II - M. Moody - Q. Post,GSW,9,30.0,126.8,105.1,21.7,0.783,0.16,0.7,0.455,0.071,0.622,0.671,92.41,0.631,56,2024-25
-203924-1629014-1630166-1630703-1641739-,J. Grant - A. Simons - D. Avdija - S. Henderson - T. Camara,POR,7,30.0,107.6,125.4,-17.8,0.65,0.438,0.593,0.508,0.182,0.462,0.563,103.44,0.418,66,2024-25
-201142-203078-1626164-1628960-1630208-,K. Durant - B. Beal - D. Booker - G. Allen - N. Richards,PHX,11,30.0,111.8,118.2,-6.4,0.6,0.316,0.821,0.617,0.25,0.707,0.763,107.74,0.485,68,2024-25
-201142-203486-1626145-1626164-1628960-,K. Durant - M. Plumlee - T. Jones - D. Booker - G. Allen,PHX,13,30.0,110.8,129.7,-18.9,0.833,0.04,0.606,0.362,0.092,0.649,0.666,102.74,0.481,65,2024-25
-1626162-1627824-1630178-1630231-1642272-,K. Oubre Jr. - G. Yabusele - T. Maxey - K. Martin - J. McCain,PHI,6,30.0,112.1,114.3,-2.2,0.593,0.414,0.609,0.5,0.19,0.564,0.564,92.64,0.453,58,2024-25
-204001-1627759-1628401-1630202-1630573-,K. Porziņģis - J. Brown - D. White - P. Pritchard - S. Hauser,BOS,7,30.0,110.2,120.3,-10.2,0.714,0.313,0.688,0.5,0.119,0.51,0.552,94.61,0.505,59,2024-25
-1628379-1628991-1630217-1630583-1642377-,L. Kennard - J. Jackson Jr. - D. Bane - S. Aldama - J. Wells,MEM,12,30.0,126.1,101.5,24.5,0.69,0.4,0.75,0.581,0.159,0.576,0.642,108.5,0.661,69,2024-25
-1627736-1630194-1631204-1631323-1641842-,M. Beasley - P. Reed - M. Sasser - S. Fontecchio - R. Holland II,DET,8,30.0,106.3,106.3,0.0,0.769,0.258,0.643,0.441,0.141,0.553,0.57,102.9,0.476,64,2024-25
-1630703-1631101-1631200-1641739-1642270-,S. Henderson - S. Sharpe - K. Murray - T. Camara - D. Clingan,POR,9,30.0,95.7,94.0,1.6,0.52,0.357,0.789,0.606,0.232,0.549,0.582,108.02,0.548,69,2024-25
-202699-203471-203501-1631105-1641709-,T. Harris - D. Schröder - T. Hardaway Jr. - J. Duren - A. Thompson,DET,5,30.0,88.9,125.8,-36.9,0.913,0.229,0.75,0.46,0.127,0.44,0.455,100.95,0.328,63,2024-25
-202699-203501-1631105-1631204-1641709-,T. Harris - T. Hardaway Jr. - J. Duren - M. Sasser - A. Thompson,DET,11,30.0,101.6,93.8,7.8,0.583,0.233,0.788,0.524,0.111,0.491,0.541,101.79,0.564,63,2024-25
